"ReportServer$SQL2016","Manual"
"RetailDemo","Manual"
"RmSvc","Manual"
"RpcEptMapper","Automatic"
"RpcLocator","Manual"
"RpcSs","Automatic"
"RtkAudioService","Automatic"
"SamSs","Automatic"
"SamsungRapidSvc","Automatic"
"SCardSvr","Automatic"
"ScDeviceEnum","Manual"
"Schedule","Automatic"
"SCPolicySvc","Manual"
"SDRSVC","Manual"
"seclogon","Manual"
"SecurityHealthService","Automatic"
"SEMgrSvc","Manual"
"SENS","Automatic"
"Sense","Manual"
"SensorDataService","Manual"
"SensorService","Manual"
"SensrSvc","Manual"
"SessionEnv","Manual"
"SharedAccess","Manual"
"ShellHWDetection","Automatic"
"shpamsvc","Disabled"
"SkypeUpdate","Automatic"
"smphost","Manual"
"SmsRouter","Manual"
"SNMPTRAP","Manual"
"spectrum","Manual"
"Spooler","Automatic"
"sppsvc","Automatic"
"SQL Server Distributed Replay Client","Manual"
"SQL Server Distributed Replay Controller","Manual"
"SQLAgent$SQL2008R2","Manual"
"SQLAgent$SQL2012","Manual"
"SQLAgent$SQL2016","Manual"
"SQLAgent$SQL2017","Manual"
"SQLBrowser","Manual"
"SQLSERVERAGENT","Manual"
"SQLTELEMETRY$SQL2016","Automatic"
"SQLTELEMETRY$SQL2017","Automatic"
"SQLWriter","Automatic"
"SSASTELEMETRY$SQL2016","Automatic"
"SSDPSRV","Manual"
"SSISTELEMETRY130","Automatic"
"SstpSvc","Manual"
"StateRepository","Manual"
"Steam Client Service","Manual"
"stisvc","Automatic"
"StorSvc","Manual"
"svsvc","Manual"
"SwitchBoard","Manual"
"swprv","Manual"
"SysMain","Automatic"
"SystemEventsBroker","Automatic"
"SystemUsageReportSvc_QUEENCREEK","Automatic"
"TabletInputService","Automatic"
"TapiSrv","Manual"
"Te.Service","Manual"
"TeamViewer","Automatic"
"TermService","Manual"
"Themes","Automatic"
"TieringEngineService","Manual"
"tiledatamodelsvc","Automatic"
"TimeBrokerSvc","Manual"
"TokenBroker","Manual"
"TrkWks","Automatic"
"TrustedInstaller","Manual"
"tzautoupdate","Manual"
"uagqecsvc","Automatic"
"UevAgentService","Disabled"
"UI0Detect","Manual"
"UmRdpService","Manual"
"UnistoreSvc_11d7f8","Manual"
"upnphost","Manual"
"USER_ESRV_SVC_QUEENCREEK","Manual"
"UserDataSvc_11d7f8","Manual"
"UserManager","Automatic"
"UsoSvc","Manual"
"VaultSvc","Manual"
"vds","Manual"
"vmcompute","Manual"
"vmicguestinterface","Manual"
"vmicheartbeat","Manual"
"vmickvpexchange","Manual"
"vmicrdv","Manual"
"vmicshutdown","Manual"
"vmictimesync","Manual"
"vmicvmsession","Manual"
"vmicvss","Manual"
"vmms","Automatic"
"VsEtwService120","Manual"
"VSS","Manual"
"VSStandardCollectorService140","Manual"
"W32Time","Manual"
"WalletService","Manual"
"wbengine","Manual"
"WbioSrvc","Manual"
"Wcmsvc","Automatic"
"wcncsvc","Manual"
"WdiServiceHost","Manual"
"WdiSystemHost","Manual"
"WdNisSvc","Manual"
"WebClient","Manual"
"Wecsvc","Manual"
"WEPHOSTSVC","Manual"
"wercplsupport","Manual"
"WerSvc","Manual"
"WFDSConMgrSvc","Manual"
"WiaRpc","Manual"
"WinDefend","Automatic"
"WinHttpAutoProxySvc","Manual"
"Winmgmt","Automatic"
"WinRM","Manual"
"wisvc","Manual"
"WlanSvc","Automatic"
"wlidsvc","Manual"
"wlpasvc","Manual"
"wmiApSrv","Manual"
"WMPNetworkSvc","Automatic"
"workfolderssvc","Manual"
"WPDBusEnum","Manual"
"WpnService","Automatic"
"WpnUserService_11d7f8","Automatic"
"wscsvc","Automatic"
"WSearch","Automatic"
"WTabletServicePro","Automatic"
"wuauserv","Manual"
"wudfsvc","Manual"
"WwanSvc","Manual"
"xbgm","Manual"
"XblAuthManager","Manual"
"XblGameSave","Manual"
"XboxGipSvc","Manual"
"XboxNetApiSvc","Manual"
"XperiaCompanionService","Automatic"
"xrdd.exe","Automatic"
"XTU3SERVICE","Automatic"
"ZeroConfigService","Automatic"
